Customer ID,Customer Name,Email ID,Address
CG-12520,Claire Gute,claire_gute@example.com,"Henderson, Kentucky"
DV-13045,Darrin Van Huff,darrin_huff@example.com,"Los Angeles, California"
SO-20335,Sean O'Donnell,sean_o'donnell@example.com,"Fort Lauderdale, Florida"
BH-11710,Brosina Hoffman,brosina_hoffman@example.com,"Los Angeles, California"
AA-10480,Andrew Allen,andrew_allen@example.com,"Concord, North Carolina"
IM-15070,Irene Maddox,irene_maddox@example.com,"Seattle, Washington"
HP-14815,Harold Pawlan,harold_pawlan@example.com,"Fort Worth, Texas"
PK-19075,Pete Kriz,pete_kriz@example.com,"Madison, Wisconsin"
AG-10270,Alejandro Grove,alejandro_grove@example.com,"West Jordan, Utah"
ZD-21925,Zuschuss Donatelli,zuschuss_donatelli@example.com,"San Francisco, California"
KB-16585,Ken Black,ken_black@example.com,"Fremont, Nebraska"
SF-20065,Sandra Flanagan,sandra_flanagan@example.com,"Philadelphia, Pennsylvania"
EB-13870,Emily Burns,emily_burns@example.com,"Orem, Utah"
EH-13945,Eric Hoffmann,eric_hoffmann@example.com,"Los Angeles, California"
TB-21520,Tracy Blumstein,tracy_blumstein@example.com,"Philadelphia, Pennsylvania"
MA-17560,Matt Abelman,matt_abelman@example.com,"Houston, Texas"
GH-14485,Gene Hale,gene_hale@example.com,"Richardson, Texas"
SN-20710,Steve Nguyen,steve_nguyen@example.com,"Houston, Texas"
LC-16930,Linda Cazamias,linda_cazamias@example.com,"Naperville, Illinois"
RA-19885,Ruben Ausman,ruben_ausman@example.com,"Los Angeles, California"
ES-14080,Erin Smith,erin_smith@example.com,"Melbourne, Florida"
ON-18715,Odella Nelson,odella_nelson@example.com,"Eagan, Minnesota"
PO-18865,Patrick O'Donnell,patrick_o'donnell@example.com,"Westland, Michigan"
LH-16900,Lena Hernandez,lena_hernandez@example.com,"Dover, Delaware"
DP-13000,Darren Powers,darren_powers@example.com,"New Albany, Indiana"
JM-15265,Janet Molinari,janet_molinari@example.com,"New York City, New York"
TB-21055,Ted Butterfield,ted_butterfield@example.com,"Troy, New York"
KM-16720,Kunst Miller,kunst_miller@example.com,"Los Angeles, California"
PS-18970,Paul Stevenson,paul_stevenson@example.com,"Chicago, Illinois"
BS-11590,Brendan Sweed,brendan_sweed@example.com,"Gilbert, Arizona"
KD-16270,Karen Daniels,karen_daniels@example.com,"Springfield, Virginia"
HM-14980,Henry MacAllister,henry_macallister@example.com,"New York City, New York"
JE-15745,Joel Eaton,joel_eaton@example.com,"Memphis, Tennessee"
KB-16600,Ken Brennan,ken_brennan@example.com,"Houston, Texas"
SC-20770,Stewart Carmichael,stewart_carmichael@example.com,"Decatur, Alabama"
DN-13690,Duane Noonan,duane_noonan@example.com,"San Francisco, California"
JC-16105,Julie Creighton,julie_creighton@example.com,"Durham, North Carolina"
CS-12400,Christopher Schild,christopher_schild@example.com,"Chicago, Illinois"
PG-18895,Paul Gonzalez,paul_gonzalez@example.com,"Rochester, Minnesota"
GM-14455,Gary Mitchum,gary_mitchum@example.com,"Houston, Texas"
JS-15685,Jim Sink,jim_sink@example.com,"Los Angeles, California"
KB-16315,Karl Braun,karl_braun@example.com,"Minneapolis, Minnesota"
RB-19705,Roger Barcio,roger_barcio@example.com,"Portland, Oregon"
PN-18775,Parhena Norris,parhena_norris@example.com,"New York City, New York"
KD-16345,Katherine Ducich,katherine_ducich@example.com,"San Francisco, California"
ER-13855,Elpida Rittenbach,elpida_rittenbach@example.com,"Saint Paul, Minnesota"
RB-19465,Rick Bensley,rick_bensley@example.com,"Chicago, Illinois"
GZ-14470,Gary Zandusky,gary_zandusky@example.com,"Rochester, Minnesota"
LC-16870,Lena Cacioppo,lena_cacioppo@example.com,"Aurora, Colorado"
JM-15250,Janet Martin,janet_martin@example.com,"Charlotte, North Carolina"
PA-19060,Pete Armstrong,pete_armstrong@example.com,"Orland Park, Illinois"
CV-12805,Cynthia Voltz,cynthia_voltz@example.com,"New York City, New York"
CL-12565,Clay Ludtke,clay_ludtke@example.com,"Urbandale, Iowa"
RC-19960,Ryan Crowe,ryan_crowe@example.com,"Columbus, Ohio"
DK-13090,Dave Kipp,dave_kipp@example.com,"Seattle, Washington"
GG-14650,Greg Guthrie,greg_guthrie@example.com,"Bristol, Tennessee"
SC-20725,Steven Cartwright,steven_cartwright@example.com,"Wilmington, Delaware"
AD-10180,Alan Dominguez,alan_dominguez@example.com,"Houston, Texas"
PF-19165,Philip Fox,philip_fox@example.com,"Bloomington, Illinois"
TS-21610,Troy Staebel,troy_staebel@example.com,"Phoenix, Arizona"
LS-16975,Lindsay Shagiari,lindsay_shagiari@example.com,"Los Angeles, California"
DW-13585,Dorothy Wardle,dorothy_wardle@example.com,"Columbus, Ohio"
LC-16885,Lena Creighton,lena_creighton@example.com,"Roseville, California"
JD-15895,Jonathan Doherty,jonathan_doherty@example.com,"Philadelphia, Pennsylvania"
SH-19975,Sally Hughsby,sally_hughsby@example.com,"San Francisco, California"
SG-20080,Sandra Glassco,sandra_glassco@example.com,"Independence, Missouri"
HA-14920,Helen Andreada,helen_andreada@example.com,"Pasadena, California"
MG-17680,Maureen Gastineau,maureen_gastineau@example.com,"Newark, Ohio"
JE-16165,Justin Ellison,justin_ellison@example.com,"Franklin, Wisconsin"
TW-21025,Tamara Willingham,tamara_willingham@example.com,"Scottsdale, Arizona"
SP-20650,Stephanie Phelps,stephanie_phelps@example.com,"San Jose, California"
NK-18490,Neil Knudson,neil_knudson@example.com,"Seattle, Washington"
DB-13060,Dave Brooks,dave_brooks@example.com,"Seattle, Washington"
NP-18670,Nora Paige,nora_paige@example.com,"Edmond, Oklahoma"
TT-21070,Ted Trevino,ted_trevino@example.com,"Los Angeles, California"
EM-13960,Eric Murdock,eric_murdock@example.com,"Philadelphia, Pennsylvania"
RD-19900,Ruben Dartt,ruben_dartt@example.com,"Carlsbad, New Mexico"
MJ-17740,Max Jones,max_jones@example.com,"Seattle, Washington"
BM-11140,Becky Martin,becky_martin@example.com,"San Antonio, Texas"
CS-12130,Chad Sievert,chad_sievert@example.com,"Los Angeles, California"
JB-15400,Jennifer Braxton,jennifer_braxton@example.com,"Chicago, Illinois"
SJ-20500,Shirley Jackson,shirley_jackson@example.com,"Houston, Texas"
JK-15640,Jim Kriz,jim_kriz@example.com,"New York City, New York"
DK-13150,David Kendrick,david_kendrick@example.com,"Decatur, Illinois"
RM-19675,Robert Marley,robert_marley@example.com,"Monroe, Louisiana"
SK-19990,Sally Knutson,sally_knutson@example.com,"Fairfield, Connecticut"
FM-14290,Frank Merwin,frank_merwin@example.com,"Los Angeles, California"
AM-10360,Alice McCarthy,alice_mccarthy@example.com,"Grand Prairie, Texas"
